iter	Passed	Remaining
755	19409	6264
756	19432	6237
757	19456	6211
758	19479	6185
759	19502	6158
760	19525	6132
761	19548	6105
762	19571	6079
763	19593	6052
764	19614	6025
765	19638	5999
766	19660	5972
767	19684	5946
768	19709	5920
769	19733	5894
770	19755	5867
771	19780	5841
772	19801	5815
773	19824	5788
774	19845	5761
775	19867	5734
776	19889	5708
777	19913	5682
778	19936	5655
779	19958	5629
780	19980	5602
781	20002	5576
782	20022	5549
783	20047	5523
784	20069	5496
785	20094	5470
786	20115	5444
787	20137	5417
788	20161	5391
789	20184	5365
790	20211	5340
791	20237	5315
792	20265	5290
793	20293	5265
794	20319	5239
795	20346	5214
796	20369	5188
797	20393	5162
798	20415	5135
799	20436	5109
800	20458	5082
801	20478	5055
802	20501	5029
803	20523	5003
804	20545	4976
805	20566	4950
806	20589	4924
807	20612	4898
808	20638	4872
809	20661	4846
810	20685	4820
811	20707	4794
812	20730	4768
813	20753	4742
814	20776	4716
815	20798	4689
816	20823	4664
817	20845	4637
818	20867	4611
819	20890	4585
820	20912	4559
821	20934	4533
822	20955	4506
823	20977	4480
824	20999	4454
825	21022	4428
826	21044	4402
827	21068	4376
828	21089	4350
829	21114	4324
830	21139	4299
831	21163	4273
832	21188	4247
833	21210	4221
834	21234	4196
835	21257	4170
836	21280	4144
837	21303	4118
838	21327	4092
839	21350	4066
840	21371	4040
841	21392	4014
842	21414	3988
843	21435	3962
844	21457	3935
845	21479	3910
846	21503	3884
847	21529	3858
848	21554	3833
849	21580	3808
850	21605	3782
851	21630	3757
852	21656	3732
853	21681	3706
854	21705	3681
855	21727	3655
856	21748	3629
857	21769	3602
858	21790	3576
859	21811	3550
860	21833	3524
861	21854	3498
862	21875	3472
863	21896	3446
864	21918	3420
865	21939	3394
866	21962	3369
867	21985	3343
868	22007	3317
869	22030	3291
870	22052	3266
871	22077	3240
872	22101	3215
873	22125	3189
874	22148	3164
875	22170	3138
876	22192	3112
877	22213	3086
878	22235	3060
879	22257	3035
880	22279	3009
881	22300	2983
882	22323	2957
883	22345	2932
884	22367	2906
885	22389	2880
886	22410	2855
887	22432	2829
888	22453	2803
889	22475	2777
890	22498	2752
891	22520	2726
892	22542	2701
893	22564	2675
894	22586	2649
895	22608	2624
896	22630	2598
897	22654	2573
898	22676	2547
899	22699	2522
900	22721	2496
901	22742	2470
902	22764	2445
903	22785	2419
904	22806	2394
905	22829	2368
906	22850	2343
907	22872	2317
908	22894	2291
909	22915	2266
910	22937	2240
911	22958	2215
912	22980	2189
913	23001	2164
914	23023	2138
915	23046	2113
916	23072	2088
917	23098	2063
918	23127	2038
919	23169	2014
920	23202	1990
921	23235	1965
922	23257	1940
923	23281	1914
924	23304	1889
925	23328	1864
926	23350	1838
927	23372	1813
928	23394	1787
929	23416	1762
930	23438	1737
931	23461	1711
932	23482	1686
933	23504	1660
934	23526	1635
935	23547	1610
936	23569	1584
937	23591	1559
938	23613	1533
939	23637	1508
940	23663	1483
941	23688	1458
942	23714	1433
943	23736	1408
944	23759	1382
945	23780	1357
946	23802	1332
947	23824	1306
948	23845	1281
949	23867	1256
950	23889	1230
951	23913	1205
952	23934	1180
953	23957	1155
954	23981	1130
955	24004	1104
956	24026	1079
957	24048	1054
958	24070	1029
959	24093	1003
960	24114	978
961	24137	953
962	24160	928
963	24182	903
964	24204	877
965	24225	852
966	24246	827
967	24268	802
968	24292	777
969	24314	751
970	24335	726
971	24358	701
972	24380	676
973	24405	651
974	24429	626
975	24451	601
976	24474	576
977	24496	551
978	24518	525
979	24540	500
980	24561	475
981	24582	450
982	24604	425
983	24628	400
984	24650	375
985	24672	350
986	24693	325
987	24715	300
988	24737	275
989	24758	250
990	24779	225
991	24802	200
992	24825	175
993	24846	149
994	24867	124
995	24888	99
996	24909	74
997	24931	49
998	24953	24
999	24974	0
